"Product Name","Product Code","Buy Rate","Sale Rate","Measurement Units","Description","Current Stock","Minimum Stock","Opening Stock","Opening Stock Rate","Opening Date","Tax Rate","Tax List","Supplier Name","Suggested Reorder QTY : <font color=#2096F3><b>%1$s</b></font> %2$s"
"Jinko 540W Panels","N/A","105.0","110.0","Pcs","Warranty 25 Years","0.0","0.0","0.0","0.0","08 March 2023","0.0%","N/A"
"Inverter Voltronic (V2) 3.5 kw","N/A","450.0","500.0","Pcs","Warranty 1 year","-1.0","0.0","0.0","0.0","08 March 2023","0.0%","N/A"
"Battery 200 Ah","N/A","175.0","180.0","Pcs","Warranty 1 year","-2.0","0.0","0.0","0.0","08 March 2023","0.0%","N/A"
"Galvanized Metal Structure","N/A","60.0","70.0","N/A","Warranty 10 years","-22.0","0.0","0.0","0.0","08 March 2023","0.0%","N/A"
"Installation","N/A","100.0","200.0","Worker","N/A","0.0","0.0","0.0","0.0","08 March 2023","0.0%","N/A"
"Electrical panel","N/A","250.0","300.0","F. Box","N/A","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"Isolation tube flexible 32","N/A","0.8","1.25","Mettre","N/A","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"DC Cable","N/A","4.5","6.0","Mettre","N/A","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"Battery Inter Conaction","N/A","5.0","10.0","Pcs","N/A","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"Stand For Battery","N/A","75.0","85.0","Pcs","N/A","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"Deye Hybrid Inverteur 6 KW","N/A","0.0","1000.0","Pcs","Warranty 1 Year","-2.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"Deye Hybrid Inverteur 8 KW","N/A","1600.0","1650.0","Pcs","Warranty 1 Year","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"Electrical Panel Control","N/A","500.0","750.0","F. Box","With surge protection AC/DC","-2.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"Disegn & Installation","N/A","500.0","750.0","Worker","N/A","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"ATS Single fase Automated","N/A","150.0","250.0","Box","N/A","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
"Lithium Battery GSL 5 Kwh","N/A","1650.0","1750.0","Pcs","Warranty 3 Years","0.0","0.0","0.0","0.0","09 March 2023","0.0%","N/A"
